PLAYER_NAME,PLAYER_ID,team,TEAM_ID,opp_team,year,opp_id
Alan Henderson,673,ATL,1610612737,DET,1997,1610612765.0
Bison Dele,183,CHI,1610612741,WAS,1997,1610612764.0
Byron Scott,2,LAL,1610612747,POR,1997,1610612757.0
Christian Laettner,363,ATL,1610612737,DET,1997,1610612765.0
Darrin Hancock,241,ATL,1610612737,DET,1997,1610612765.0
David Wingate,766,SEA,1610612760,PHX,1997,1610612756.0
Dennis Rodman,23,CHI,1610612741,WAS,1997,1610612764.0
Derek Fisher,965,LAL,1610612747,POR,1997,1610612757.0
Detlef Schrempf,96,SEA,1610612760,PHX,1997,1610612756.0
Dikembe Mutombo,87,ATL,1610612737,DET,1997,1610612765.0
Eddie Jones,224,LAL,1610612747,POR,1997,1610612757.0
Elden Campbell,922,LAL,1610612747,POR,1997,1610612757.0
Gary Payton,56,SEA,1610612760,PHX,1997,1610612756.0
Henry James,1080,ATL,1610612737,DET,1997,1610612765.0
Hersey Hawkins,765,SEA,1610612760,PHX,1997,1610612756.0
Jason Caffey,679,CHI,1610612741,WAS,1997,1610612764.0
Jerome Kersey,760,LAL,1610612747,POR,1997,1610612757.0
Kobe Bryant,977,LAL,1610612747,POR,1997,1610612757.0
Luc Longley,26,CHI,1610612741,WAS,1997,1610612764.0
Michael Jordan,893,CHI,1610612741,WAS,1997,1610612764.0
Mookie Blaylock,302,ATL,1610612737,DET,1997,1610612765.0
Nick Van Exel,89,LAL,1610612747,POR,1997,1610612757.0
Randy Brown,753,CHI,1610612741,WAS,1997,1610612764.0
Robert Horry,109,LAL,1610612747,POR,1997,1610612757.0
Ron Harper,166,CHI,1610612741,WAS,1997,1610612764.0
Sam Perkins,64,SEA,1610612760,PHX,1997,1610612756.0
Scottie Pippen,937,CHI,1610612741,WAS,1997,1610612764.0
Sean Rooks,399,LAL,1610612747,POR,1997,1610612757.0
Shaquille O'Neal,406,LAL,1610612747,POR,1997,1610612757.0
Shawn Kemp,431,SEA,1610612760,PHX,1997,1610612756.0
Steve Kerr,70,CHI,1610612741,WAS,1997,1610612764.0
Steven Smith,120,ATL,1610612737,DET,1997,1610612765.0
Terry Cummings,187,SEA,1610612760,PHX,1997,1610612756.0
Toni Kukoc,389,CHI,1610612741,WAS,1997,1610612764.0
Tyrone Corbin,895,ATL,1610612737,DET,1997,1610612765.0
Alonzo Mourning,297,MIA,1610612748,ORL,1997,1610612753.0
Dan Majerle,105,MIA,1610612748,ORL,1997,1610612753.0
Ed Pinckney,291,MIA,1610612748,ORL,1997,1610612753.0
Eldridge Recasner,695,ATL,1610612737,DET,1997,1610612765.0
Eric Snow,727,SEA,1610612760,PHX,1997,1610612756.0
Greg Graham,37,SEA,1610612760,PHX,1997,1610612756.0
Ike Austin,1134,MIA,1610612748,ORL,1997,1610612753.0
Jamal Mashburn,469,MIA,1610612748,ORL,1997,1610612753.0
Jim McIlvaine,29,SEA,1610612760,PHX,1997,1610612756.0
John Crotty,180,MIA,1610612748,ORL,1997,1610612753.0
Jud Buechler,146,CHI,1610612741,WAS,1997,1610612764.0
Keith Askins,173,MIA,1610612748,ORL,1997,1610612753.0
Larry Stewart,1125,SEA,1610612760,PHX,1997,1610612756.0
Mark Strickland,1110,MIA,1610612748,ORL,1997,1610612753.0
Nate McMillan,203,SEA,1610612760,PHX,1997,1610612756.0
P.J. Brown,136,MIA,1610612748,ORL,1997,1610612753.0
Priest Lauderdale,968,ATL,1610612737,DET,1997,1610612765.0
Tim Hardaway,896,MIA,1610612748,ORL,1997,1610612753.0
Travis Knight,969,LAL,1610612747,POR,1997,1610612757.0
Voshon Lenard,702,MIA,1610612748,ORL,1997,1610612753.0
Willie Anderson,335,MIA,1610612748,ORL,1997,1610612753.0
Aaron McKie,243,DET,1610612765,ATL,1997,1610612737.0
Anfernee Hardaway,358,ORL,1610612753,MIA,1997,1610612748.0
Brian Shaw,216,ORL,1610612753,MIA,1997,1610612748.0
Cedric Ceballos,76,PHX,1610612756,SEA,1997,1610612760.0
Dan Schayes,7,ORL,1610612753,MIA,1997,1610612748.0
